p sp 99 9702
a 1 2 763
a 1 3 911
a 1 4 901
a 1 5 213
a 1 6 910
a 1 7 274
a 1 8 22
a 1 9 956
a 1 10 995
a 1 11 771
a 1 12 172
a 1 13 20
a 1 14 336
a 1 15 123
a 1 16 692
a 1 17 453
a 1 18 275
a 1 19 35
a 1 20 791
a 1 21 762
a 1 22 118
a 1 23 288
a 1 24 177
a 1 25 201
a 1 26 342
a 1 27 511
a 1 28 925
a 1 29 520
a 1 30 927
a 1 31 1
a 1 32 490
a 1 33 945
a 1 34 457
a 1 35 944
a 1 36 992
a 1 37 934
a 1 38 166
a 1 39 704
a 1 40 707
a 1 41 572
a 1 42 417
a 1 43 590
a 1 44 710
a 1 45 716
a 1 46 399
a 1 47 860
a 1 48 777
a 1 49 573
a 1 50 625
a 1 51 314
a 1 52 812
a 1 53 627
a 1 54 272
a 1 55 190
a 1 56 673
a 1 57 523
a 1 58 151
a 1 59 517
a 1 60 965
a 1 61 828
a 1 62 405
a 1 63 535
a 1 64 174
a 1 65 438
a 1 66 199
a 1 67 118
a 1 68 246
a 1 69 614
a 1 70 209
a 1 71 790
a 1 72 6
a 1 73 936
a 1 74 566
a 1 75 366
a 1 76 563
a 1 77 755
a 1 78 499
a 1 79 806
a 1 80 157
a 1 81 560
a 1 82 168
a 1 83 335
a 1 84 914
a 1 85 243
a 1 86 862
a 1 87 317
a 1 88 743
a 1 89 696
a 1 90 257
a 1 91 839
a 1 92 175
a 1 93 798
a 1 94 686
a 1 95 861
a 1 96 17
a 1 97 7
a 1 98 182
a 1 99 273
a 2 1 877
a 2 3 21
a 2 4 281
a 2 5 286
a 2 6 407
a 2 7 238
a 2 8 76
a 2 9 612
a 2 10 51
a 2 11 265
a 2 12 555
a 2 13 977
a 2 14 70
a 2 15 735
a 2 16 798
a 2 17 168
a 2 18 971
a 2 19 666
a 2 20 120
a 2 21 870
a 2 22 555
a 2 23 24
a 2 24 514
a 2 25 271
a 2 26 139
a 2 27 176
a 2 28 220
a 2 29 85
a 2 30 993
a 2 31 555
a 2 32 348
a 2 33 745
a 2 34 391
a 2 35 436
a 2 36 893
a 2 37 391
a 2 38 598
a 2 39 568
a 2 40 449
a 2 41 494
a 2 42 580
a 2 43 630
a 2 44 791
a 2 45 949
a 2 46 294
a 2 47 760
a 2 48 661
a 2 49 815
a 2 50 966
a 2 51 696
a 2 52 101
a 2 53 727
a 2 54 493
a 2 55 819
a 2 56 660
a 2 57 580
a 2 58 985
a 2 59 609
a 2 60 230
a 2 61 118
a 2 62 672
a 2 63 634
a 2 64 707
a 2 65 22
a 2 66 843
a 2 67 594
a 2 68 829
a 2 69 362
a 2 70 468
a 2 71 797
a 2 72 695
a 2 73 214
a 2 74 47
a 2 75 99
a 2 76 927
a 2 77 315
a 2 78 812
a 2 79 917
a 2 80 156
a 2 81 555
a 2 82 827
a 2 83 261
a 2 84 256
a 2 85 50
a 2 86 502
a 2 87 338
a 2 88 694
a 2 89 414
a 2 90 762
a 2 91 121
a 2 92 772
a 2 93 944
a 2 94 821
a 2 95 44
a 2 96 202
a 2 97 665
a 2 98 353
a 2 99 6
a 3 1 353
a 3 2 325
a 3 4 903
a 3 5 453
a 3 6 741
a 3 7 362
a 3 8 261
a 3 9 895
a 3 10 707
a 3 11 401
a 3 12 344
a 3 13 156
a 3 14 435
a 3 15 732
a 3 16 818
a 3 17 914
a 3 18 438
a 3 19 70
a 3 20 340
a 3 21 979
a 3 22 456
a 3 23 230
a 3 24 444
a 3 25 624
a 3 26 14
a 3 27 611
a 3 28 560
a 3 29 177
a 3 30 609
a 3 31 432
a 3 32 785
a 3 33 434
a 3 34 497
a 3 35 825
a 3 36 209
a 3 37 544
a 3 38 595
a 3 39 716
a 3 40 220
a 3 41 649
a 3 42 971
a 3 43 17
a 3 44 138
a 3 45 903
a 3 46 938
a 3 47 986
a 3 48 899
a 3 49 981
a 3 50 600
a 3 51 275
a 3 52 513
a 3 53 992
a 3 54 594
a 3 55 594
a 3 56 841
a 3 57 806
a 3 58 765
a 3 59 207
a 3 60 201
a 3 61 978
a 3 62 936
a 3 63 733
a 3 64 675
a 3 65 325
a 3 66 150
a 3 67 407
a 3 68 432
a 3 69 254
