p sp 20 380
a 1 2 960
a 1 3 404
a 1 4 906
a 1 5 74
a 1 6 971
a 1 7 79
a 1 8 523
a 1 9 145
a 1 10 344
a 1 11 904
a 1 12 873
a 1 13 897
a 1 14 45
a 1 15 768
a 1 16 617
a 1 17 394
a 1 18 520
a 1 19 568
a 1 20 548
a 2 1 599
a 2 3 883
a 2 4 653
a 2 5 678
a 2 6 814
a 2 7 731
a 2 8 716
a 2 9 794
a 2 10 981
a 2 11 596
a 2 12 486
a 2 13 927
a 2 14 870
a 2 15 950
a 2 16 717
a 2 17 677
a 2 18 91
a 2 19 259
a 2 20 125
a 3 1 104
a 3 2 289
a 3 4 126
a 3 5 499
a 3 6 523
a 3 7 785
a 3 8 52
a 3 9 945
a 3 10 454
a 3 11 530
a 3 12 782
a 3 13 415
a 3 14 681
a 3 15 8
a 3 16 117
a 3 17 307
a 3 18 702
a 3 19 552
a 3 20 492
a 4 1 346
a 4 2 394
a 4 3 785
a 4 5 978
a 4 6 4
a 4 7 67
a 4 8 643
a 4 9 636
a 4 10 859
a 4 11 267
a 4 12 315
a 4 13 718
a 4 14 259
a 4 15 819
a 4 16 701
a 4 17 219
a 4 18 195
a 4 19 456
a 4 20 304
a 5 1 232
a 5 2 155
a 5 3 178
a 5 4 733
a 5 6 37
a 5 7 884
a 5 8 47
a 5 9 480
a 5 10 11
a 5 11 794
a 5 12 244
a 5 13 5
a 5 14 902
a 5 15 892
a 5 16 188
a 5 17 811
a 5 18 51
a 5 19 282
a 5 20 646
a 6 1 596
a 6 2 747
a 6 3 934
a 6 4 410
a 6 5 410
a 6 7 742
a 6 8 411
a 6 9 884
a 6 10 27
a 6 11 321
a 6 12 593
a 6 13 280
a 6 14 654
a 6 15 832
a 6 16 174
a 6 17 283
a 6 18 956
a 6 19 419
a 6 20 13
a 7 1 392
a 7 2 559
a 7 3 245
a 7 4 843
a 7 5 608
a 7 6 933
a 7 8 879
a 7 9 644
a 7 10 48
a 7 11 877
a 7 12 537
a 7 13 74
a 7 14 246
a 7 15 616
a 7 16 761
a 7 17 894
a 7 18 76
a 7 19 201
a 7 20 642
a 8 1 956
a 8 2 771
a 8 3 869
a 8 4 590
a 8 5 355
a 8 6 41
a 8 7 587
a 8 9 52
a 8 10 226
a 8 11 803
a 8 12 845
a 8 13 258
a 8 14 68
a 8 15 163
a 8 16 997
a 8 17 674
a 8 18 804
a 8 19 554
a 8 20 104
a 9 1 817
a 9 2 401
a 9 3 502
a 9 4 350
a 9 5 691
a 9 6 347
a 9 7 341
a 9 8 887
a 9 10 872
a 9 11 491
a 9 12 192
a 9 13 319
a 9 14 298
a 9 15 679
a 9 16 393
a 9 17 202
a 9 18 804
a 9 19 715
a 9 20 684
a 10 1 72
a 10 2 532
a 10 3 256
a 10 4 921
a 10 5 666
a 10 6 193
a 10 7 592
a 10 8 104
a 10 9 562
a 10 11 197
a 10 12 71
a 10 13 107
a 10 14 935
a 10 15 131
a 10 16 251
a 10 17 535
a 10 18 974
a 10 19 433
a 10 20 437
a 11 1 954
a 11 2 841
a 11 3 263
a 11 4 198
a 11 5 342
a 11 6 523
a 11 7 126
a 11 8 586
a 11 9 772
a 11 10 418
a 11 12 546
a 11 13 407
a 11 14 10
a 11 15 404
a 11 16 640
a 11 17 942
a 11 18 317
a 11 19 353
a 11 20 208
a 12 1 193
a 12 2 647
a 12 3 759
a 12 4 467
a 12 5 51
a 12 6 105
a 12 7 632
a 12 8 21
a 12 9 147
a 12 10 169
a 12 11 381
a 12 13 963
a 12 14 40
a 12 15 757
a 12 16 206
a 12 17 894
a 12 18 389
a 12 19 558
a 12 20 119
a 13 1 254
a 13 2 342
a 13 3 238
a 13 4 629
a 13 5 888
a 13 6 945
a 13 7 657
a 13 8 286
a 13 9 192
a 13 10 446
a 13 11 143
a 13 12 964
a 13 14 983
a 13 15 127
a 13 16 624
a 13 17 754
a 13 18 885
a 13 19 56
a 13 20 486
a 14 1 605
a 14 2 143
a 14 3 39
a 14 4 502
a 14 5 331
a 14 6 658
a 14 7 652
a 14 8 22
a 14 9 911
a 14 10 13
a 14 11 442
a 14 12 896
a 14 13 450
a 14 15 371
a 14 16 724
a 14 17 973
a 14 18 179
a 14 19 406
a 14 20 24
a 15 1 355
a 15 2 824
a 15 3 805
a 15 4 247
a 15 5 599
a 15 6 442
a 15 7 990
a 15 8 850
a 15 9 779
a 15 10 981
a 15 11 196
a 15 12 158
a 15 13 9
a 15 14 428
a 15 16 601
a 15 17 337
a 15 18 701
a 15 19 513
a 15 20 508
a 16 1 570
a 16 2 726
a 16 3 362
a 16 4 5
a 16 5 628
a 16 6 404
a 16 7 253
a 16 8 315
a 16 9 115
a 16 10 795
a 16 11 476
a 16 12 36
a 16 13 972
a 16 14 615
a 16 15 777
a 16 17 733
a 16 18 713
a 16 19 790
a 16 20 355
a 17 1 77
a 17 2 427
a 17 3 64
a 17 4 294
a 17 5 646
a 17 6 197
a 17 7 658
a 17 8 191
a 17 9 388
a 17 10 975
a 17 11 622
a 17 12 845
a 17 13 251
a 17 14 560
a 17 15 83
a 17 16 233
a 17 18 428
a 17 19 147
a 17 20 171
a 18 1 862
a 18 2 456
a 18 3 82
a 18 4 359
a 18 5 737
a 18 6 971
a 18 7 685
a 18 8 213
a 18 9 321
a 18 10 866
a 18 11 172
a 18 12 362
a 18 13 487
a 18 14 93
a 18 15 960
a 18 16 976
a 18 17 583
a 18 19 653
a 18 20 518
a 19 1 9
a 19 2 933
a 19 3 846
a 19 4 291
a 19 5 873
a 19 6 513
a 19 7 166
a 19 8 96
a 19 9 183
a 19 10 619
a 19 11 507
a 19 12 607
a 19 13 820
a 19 14 798
a 19 15 161
a 19 16 163
a 19 17 633
a 19 18 472
a 19 20 577
a 20 1 548
a 20 2 357
a 20 3 240
a 20 4 35
a 20 5 896
a 20 6 245
a 20 7 991
a 20 8 476
a 20 9 827
a 20 10 322
a 20 11 863
a 20 12 896
a 20 13 447
a 20 14 638
a 20 15 350
a 20 16 401
a 20 17 508
a 20 18 14
a 20 19 92
