p sp 8 56
a 1 2 934
a 1 3 471
a 1 4 872
a 1 5 740
a 1 6 538
a 1 7 89
a 1 8 786
a 2 1 740
a 2 3 759
a 2 4 875
a 2 5 159
a 2 6 307
a 2 7 739
a 2 8 778
a 3 1 423
a 3 2 4
a 3 4 398
a 3 5 578
a 3 6 803
a 3 7 122
a 3 8 930
a 4 1 343
a 4 2 628
a 4 3 368
a 4 5 289
a 4 6 503
a 4 7 272
a 4 8 40
a 5 1 194
a 5 2 569
a 5 3 69
a 5 4 160
a 5 6 860
a 5 7 887
a 5 8 676
a 6 1 837
a 6 2 833
a 6 3 487
a 6 4 703
a 6 5 52
a 6 7 340
a 6 8 310
a 7 1 74
a 7 2 403
a 7 3 355
a 7 4 355
a 7 5 317
a 7 6 845
a 7 8 973
a 8 1 106
a 8 2 343
a 8 3 507
a 8 4 3
a 8 5 141
a 8 6 604
a 8 7 562
