p sp 100 9900
a 1 2 630
a 1 3 410
a 1 4 792
a 1 5 728
a 1 6 625
a 1 7 965
a 1 8 577
a 1 9 151
a 1 10 646
a 1 11 790
a 1 12 607
a 1 13 7
a 1 14 843
a 1 15 558
a 1 16 647
a 1 17 424
a 1 18 550
a 1 19 974
a 1 20 570
a 1 21 277
a 1 22 49
a 1 23 419
a 1 24 140
a 1 25 172
a 1 26 257
a 1 27 562
a 1 28 912
a 1 29 587
a 1 30 458
a 1 31 252
a 1 32 565
a 1 33 732
a 1 34 124
a 1 35 227
a 1 36 107
a 1 37 457
a 1 38 489
a 1 39 363
a 1 40 278
a 1 41 879
a 1 42 380
a 1 43 929
a 1 44 337
a 1 45 215
a 1 46 386
a 1 47 423
a 1 48 708
a 1 49 464
a 1 50 892
a 1 51 725
a 1 52 847
a 1 53 502
a 1 54 947
a 1 55 641
a 1 56 980
a 1 57 126
a 1 58 882
a 1 59 872
a 1 60 520
a 1 61 39
a 1 62 72
a 1 63 858
a 1 64 577
a 1 65 9
a 1 66 978
a 1 67 337
a 1 68 697
a 1 69 889
a 1 70 756
a 1 71 489
a 1 72 657
a 1 73 563
a 1 74 145
a 1 75 193
a 1 76 902
a 1 77 382
a 1 78 286
a 1 79 65
a 1 80 192
a 1 81 635
a 1 82 739
a 1 83 66
a 1 84 149
a 1 85 334
a 1 86 673
a 1 87 928
a 1 88 306
a 1 89 915
a 1 90 844
a 1 91 746
a 1 92 90
a 1 93 209
a 1 94 913
a 1 95 680
a 1 96 164
a 1 97 786
a 1 98 913
a 1 99 500
a 1 100 616
a 2 1 80
a 2 3 284
a 2 4 105
a 2 5 778
a 2 6 769
a 2 7 575
a 2 8 783
a 2 9 286
a 2 10 748
a 2 11 846
a 2 12 388
a 2 13 793
a 2 14 106
a 2 15 161
a 2 16 635
a 2 17 542
a 2 18 357
a 2 19 963
a 2 20 841
a 2 21 270
a 2 22 867
a 2 23 349
a 2 24 778
a 2 25 166
a 2 26 659
a 2 27 167
a 2 28 360
a 2 29 108
a 2 30 166
a 2 31 343
a 2 32 268
a 2 33 210
a 2 34 951
a 2 35 496
a 2 36 770
a 2 37 609
a 2 38 963
a 2 39 468
a 2 40 665
a 2 41 911
a 2 42 809
a 2 43 378
a 2 44 152
a 2 45 393
a 2 46 739
a 2 47 424
a 2 48 706
a 2 49 201
a 2 50 771
a 2 51 784
a 2 52 210
a 2 53 184
a 2 54 22
a 2 55 375
a 2 56 775
a 2 57 948
a 2 58 852
a 2 59 793
a 2 60 937
a 2 61 731
a 2 62 605
a 2 63 46
a 2 64 753
a 2 65 782
a 2 66 877
a 2 67 680
a 2 68 397
a 2 69 671
a 2 70 40
a 2 71 186
a 2 72 785
a 2 73 394
a 2 74 926
a 2 75 282
a 2 76 78
a 2 77 375
a 2 78 368
a 2 79 455
a 2 80 478
a 2 81 246
a 2 82 384
a 2 83 499
a 2 84 909
a 2 85 569
a 2 86 13
a 2 87 329
a 2 88 129
a 2 89 149
a 2 90 220
a 2 91 231
a 2 92 283
a 2 93 256
a 2 94 103
a 2 95 493
a 2 96 732
a 2 97 236
a 2 98 953
a 2 99 364
a 2 100 472
a 3 1 74
a 3 2 960
a 3 4 600
a 3 5 125
a 3 6 208
a 3 7 490
a 3 8 446
a 3 9 676
a 3 10 267
a 3 11 847
a 3 12 174
a 3 13 863
a 3 14 429
a 3 15 741
a 3 16 521
a 3 17 825
a 3 18 463
a 3 19 262
a 3 20 643
a 3 21 449
a 3 22 111
a 3 23 843
a 3 24 737
a 3 25 926
a 3 26 555
a 3 27 252
a 3 28 284
a 3 29 587
a 3 30 332
a 3 31 285
a 3 32 844
a 3 33 492
a 3 34 756
a 3 35 51
a 3 36 14
a 3 37 263
a 3 38 719
a 3 39 892
a 3 40 390
a 3 41 588
a 3 42 125
a 3 43 450
a 3 44 845
a 3 45 125
a 3 46 606
a 3 47 456
a 3 48 363
a 3 49 102
a 3 50 652
a 3 51 99
a 3 52 613
a 3 53 637
a 3 54 12
a 3 55 169
a 3 56 856
a 3 57 786
a 3 58 396
a 3 59 549
a 3 60 547
a 3 61 944
a 3 62 150
a 3 63 256
a 3 64 513
a 3 65 362
a 3 66 395
a 3 67 929
a 3 68 348
a 3 69 790
a 3 70 329
a 3 71 686
a 3 72 843
a 3 73 125
a 3 74 941
a 3 75 40
a 3 76 580
a 3 77 24
a 3 78 601
a 3 79 355
a 3 80 234
a 3 81 940
a 3 82 447
a 3 83 666
a 3 84 927
a 3 85 815
a 3 86 339
a 3 87 983
a 3 88 634
a 3 89 696
a 3 90 308
a 3 91 320
a 3 92 659
a 3 93 138
a 3 94 762
a 3 95 995
a 3 96 377
a 3 97 945
a 3 98 305
a 3 99 218
a 3 100 122
a 4 1 98
a 4 2 277
a 4 3 671
a 4 5 875
a 4 6 783
a 4 7 724
a 4 8 753
a 4 9 515
a 4 10 929
a 4 11 334
a 4 12 332
a 4 13 140
a 4 14 363
a 4 15 32
a 4 16 973
a 4 17 866
a 4 18 517
a 4 19 972
a 4 20 947
a 4 21 921
a 4 22 550
a 4 23 353
a 4 24 511
a 4 25 114
a 4 26 321
a 4 27 929
a 4 28 932
a 4 29 862
a 4 30 344
a 4 31 397
a 4 32 351
a 4 33 465
a 4 34 331
a 4 35 307
a 4 36 767
a 4 37 136
a 4 38 722
a 4 39 616
a 4 40 589
a 4 41 379
a 4 42 598
a 4 43 30
a 4 44 373
a 4 45 259
a 4 46 844
a 4 47 775
a 4 48 571
a 4 49 708
a 4 50 737
a 4 51 895
a 4 52 287
a 4 53 108
a 4 54 654
a 4 55 821
a 4 56 729
a 4 57 73
a 4 58 405
a 4 59 650
a 4 60 628
a 4 61 151
a 4 62 873
a 4 63 783
a 4 64 758
a 4 65 679
a 4 66 586
a 4 67 355
a 4 68 502
a 4 69 217
a 4 70 46
a 4 71 451
a 4 72 269
a 4 73 306
a 4 74 417
a 4 75 168
a 4 76 533
a 4 77 734
a 4 78 541
a 4 79 860
a 4 80 428
a 4 81 815
a 4 82 58
a 4 83 692
a 4 84 322
a 4 85 603
a 4 86 399
a 4 87 174
a 4 88 910
a 4 89 353
a 4 90 694
a 4 91 276
a 4 92 564
a 4 93 812
a 4 94 211
a 4 95 216
a 4 96 201
a 4 97 726
a 4 98 445
a 4 99 37
a 4 100 837
a 5 1 414
a 5 2 403
a 5 3 452
a 5 4 703
a 5 6 234
a 5 7 592
a 5 8 403
a 5 9 540
a 5 10 405
a 5 11 456
a 5 12 255
a 5 13 249
a 5 14 857
a 5 15 56
a 5 16 787
a 5 17 563
a 5 18 638
a 5 19 81
a 5 20 214
a 5 21 598
a 5 22 553
a 5 23 356
a 5 24 241
a 5 25 82
a 5 26 317
a 5 27 662
a 5 28 326
a 5 29 431
a 5 30 965
a 5 31 302
a 5 32 754
a 5 33 586
a 5 34 863
a 5 35 202
a 5 36 850
a 5 37 973
a 5 38 722
a 5 39 325
a 5 40 457
a 5 41 194
a 5 42 432
a 5 43 195
a 5 44 576
a 5 45 648
a 5 46 20
a 5 47 75
a 5 48 413
a 5 49 428
a 5 50 677
a 5 51 460
a 5 52 556
a 5 53 321
a 5 54 521
a 5 55 176
a 5 56 48
a 5 57 768
a 5 58 490
a 5 59 915
a 5 60 370
a 5 61 640
a 5 62 52
a 5 63 67
a 5 64 112
a 5 65 775
a 5 66 236
a 5 67 274
a 5 68 583
a 5 69 270
a 5 70 394
a 5 71 423
a 5 72 153
a 5 73 736
a 5 74 959
a 5 75 544
a 5 76 936
a 5 77 58
a 5 78 55
a 5 79 99
a 5 80 432
a 5 81 213
a 5 82 696
a 5 83 992
a 5 84 320
a 5 85 103
a 5 86 249
a 5 87 848
a 5 88 825
a 5 89 861
a 5 90 203
a 5 91 640
a 5 92 165
a 5 93 468
a 5 94 619
a 5 95 966
a 5 96 153
a 5 97 474
a 5 98 589
a 5 99 26
a 5 100 915
a 6 1 809
a 6 2 826
a 6 3 350
a 6 4 835
a 6 5 940
a 6 7 802
a 6 8 166
a 6 9 222
a 6 10 784
a 6 11 10
a 6 12 241
a 6 13 726
a 6 14 516
a 6 15 63
a 6 16 677
a 6 17 26
a 6 18 312
a 6 19 273
a 6 20 670
a 6 21 84
a 6 22 49
a 6 23 353
a 6 24 375
a 6 25 542
a 6 26 403
a 6 27 346
a 6 28 478
a 6 29 595
a 6 30 685
a 6 31 939
a 6 32 172
a 6 33 12
a 6 34 192
a 6 35 402
a 6 36 74
a 6 37 584
a 6 38 848
a 6 39 290
a 6 40 941
a 6 41 881
a 6 42 377
a 6 43 222
a 6 44 899
a 6 45 190
a 6 46 210
a 6 47 403
a 6 48 707
a 6 49 811
a 6 50 701
a 6 51 337
a 6 52 488
a 6 53 858
a 6 54 172
a 6 55 970
a 6 56 238
a 6 57 461
a 6 58 373
a 6 59 1
a 6 60 955
a 6 61 592
a 6 62 351
a 6 63 988
a 6 64 111
a 6 65 155
a 6 66 786
a 6 67 194
a 6 68 772
a 6 69 102
a 6 70 35
a 6 71 885
a 6 72 790
a 6 73 619
a 6 74 813
a 6 75 345
a 6 76 779
a 6 77 648
a 6 78 576
a 6 79 186
a 6 80 435
a 6 81 609
a 6 82 133
a 6 83 618
a 6 84 384
a 6 85 929
a 6 86 431
a 6 87 488
a 6 88 47
a 6 89 50
a 6 90 731
a 6 91 801
a 6 92 981
a 6 93 447
a 6 94 472
a 6 95 530
a 6 96 187
a 6 97 321
a 6 98 376
a 6 99 587
a 6 100 666
a 7 1 407
a 7 2 924
a 7 3 797
a 7 4 647
a 7 5 3
a 7 6 692
a 7 8 284
a 7 9 111
a 7 10 732
a 7 11 148
a 7 12 182
a 7 13 956
a 7 14 30
a 7 15 983
a 7 16 970
a 7 17 93
a 7 18 739
a 7 19 264
a 7 20 914
a 7 21 801
a 7 22 725
a 7 23 555
a 7 24 328
a 7 25 221
a 7 26 896
a 7 27 480
a 7 28 588
a 7 29 432
a 7 30 380
a 7 31 608
a 7 32 571
a 7 33 206
a 7 34 593
a 7 35 69
a 7 36 665
a 7 37 706
a 7 38 746
a 7 39 702
a 7 40 808
a 7 41 497
a 7 42 506
a 7 43 736
a 7 44 518
a 7 45 605
a 7 46 417
a 7 47 805
a 7 48 867
a 7 49 456
a 7 50 606
a 7 51 793
a 7 52 919
a 7 53 84
a 7 54 574
a 7 55 519
a 7 56 904
a 7 57 953
a 7 58 652
a 7 59 640
a 7 60 698
a 7 61 519
a 7 62 454
a 7 63 819
a 7 64 364
a 7 65 671
a 7 66 54
a 7 67 806
a 7 68 513
a 7 69 509
a 7 70 782
a 7 71 587
a 7 72 428
a 7 73 768
a 7 74 578
a 7 75 627
a 7 76 658
a 7 77 552
a 7 78 305
a 7 79 550
a 7 80 227
a 7 81 15
a 7 82 292
a 7 83 112
a 7 84 305
a 7 85 208
a 7 86 893
a 7 87 70
a 7 88 88
a 7 89 747
a 7 90 505
a 7 91 190
a 7 92 284
a 7 93 510
a 7 94 230
a 7 95 714
a 7 96 117
a 7 97 580
a 7 98 661
a 7 99 597
a 7 100 853
a 8 1 778
a 8 2 320
a 8 3 675
a 8 4 64
a 8 5 540
a 8 6 604
a 8 7 597
a 8 9 586
a 8 10 876
a 8 11 960
a 8 12 59
a 8 13 884
a 8 14 347
a 8 15 156
a 8 16 967
a 8 17 152
a 8 18 902
a 8 19 43
a 8 20 8
a 8 21 928
a 8 22 817
a 8 23 344
a 8 24 924
a 8 25 706
a 8 26 695
a 8 27 196
a 8 28 308
a 8 29 302
a 8 30 423
a 8 31 566
a 8 32 515
a 8 33 757
a 8 34 328
a 8 35 449
a 8 36 135
a 8 37 636
a 8 38 254
a 8 39 817
a 8 40 238
a 8 41 310
a 8 42 97
a 8 43 245
a 8 44 458
a 8 45 125
a 8 46 541
a 8 47 190
a 8 48 813
a 8 49 458
a 8 50 980
a 8 51 510
a 8 52 605
a 8 53 584
a 8 54 173
a 8 55 842
a 8 56 208
a 8 57 460
a 8 58 920
a 8 59 136
a 8 60 729
a 8 61 359
a 8 62 943
a 8 63 801
a 8 64 169
a 8 65 546
a 8 66 959
a 8 67 415
a 8 68 678
a 8 69 608
a 8 70 956
a 8 71 760
a 8 72 30
a 8 73 871
a 8 74 264
a 8 75 41
a 8 76 476
a 8 77 94
a 8 78 179
a 8 79 650
a 8 80 722
a 8 81 176
a 8 82 396
a 8 83 296
a 8 84 709
a 8 85 48
a 8 86 502
a 8 87 238
a 8 88 36
a 8 89 51
a 8 90 435
a 8 91 242
a 8 92 393
a 8 93 552
a 8 94 637
a 8 95 662
a 8 96 949
a 8 97 682
a 8 98 15
a 8 99 708
a 8 100 935
a 9 1 52
a 9 2 760
a 9 3 232
a 9 4 606
a 9 5 371
a 9 6 655
a 9 7 346
a 9 8 962
a 9 10 456
a 9 11 167
a 9 12 25
a 9 13 918
a 9 14 971
a 9 15 548
a 9 16 800
a 9 17 224
a 9 18 592
a 9 19 196
a 9 20 852
a 9 21 815
a 9 22 773
a 9 23 863
a 9 24 619
a 9 25 332
a 9 26 793
a 9 27 623
a 9 28 78
a 9 29 137
a 9 30 879
a 9 31 744
a 9 32 47
a 9 33 932
a 9 34 368
a 9 35 208
a 9 36 667
a 9 37 52
a 9 38 460
a 9 39 864
a 9 40 113
a 9 41 426
a 9 42 673
a 9 43 832
a 9 44 25
a 9 45 153
a 9 46 73
a 9 47 750
a 9 48 622
a 9 49 855
a 9 50 777
a 9 51 359
a 9 52 748
a 9 53 1
a 9 54 708
a 9 55 516
a 9 56 33
a 9 57 138
a 9 58 619
a 9 59 615
a 9 60 167
a 9 61 268
a 9 62 279
a 9 63 922
a 9 64 512
a 9 65 100
a 9 66 877
a 9 67 854
a 9 68 432
a 9 69 834
a 9 70 833
a 9 71 857
a 9 72 231
a 9 73 390
a 9 74 499
a 9 75 814
a 9 76 844
a 9 77 476
a 9 78 276
a 9 79 65
a 9 80 90
a 9 81 704
a 9 82 609
a 9 83 600
a 9 84 366
a 9 85 66
a 9 86 271
a 9 87 730
a 9 88 246
a 9 89 819
a 9 90 892
a 9 91 203
a 9 92 547
a 9 93 526
a 9 94 628
a 9 95 798
a 9 96 543
a 9 97 519
a 9 98 657
a 9 99 97
a 9 100 88
a 10 1 679
a 10 2 298
a 10 3 884
a 10 4 123
a 10 5 453
a 10 6 964
a 10 7 809
a 10 8 209
a 10 9 21
a 10 11 611
a 10 12 301
a 10 13 828
a 10 14 789
a 10 15 82
a 10 16 325
a 10 17 418
a 10 18 195
a 10 19 438
a 10 20 578
a 10 21 177
a 10 22 512
a 10 23 902
a 10 24 117
a 10 25 545
a 10 26 527
a 10 27 333
a 10 28 891
a 10 29 245
a 10 30 349
a 10 31 374
a 10 32 345
a 10 33 921
a 10 34 379
a 10 35 695
a 10 36 472
a 10 37 20
a 10 38 55
a 10 39 214
a 10 40 930
a 10 41 871
a 10 42 718
a 10 43 406
a 10 44 970
a 10 45 349
a 10 46 221
a 10 47 155
a 10 48 304
a 10 49 640
a 10 50 538
a 10 51 825
a 10 52 210
a 10 53 818
a 10 54 271
a 10 55 296
a 10 56 628
a 10 57 441
a 10 58 535
a 10 59 458
a 10 60 760
a 10 61 320
a 10 62 767
a 10 63 827
a 10 64 566
a 10 65 268
a 10 66 150
a 10 67 488
a 10 68 45
a 10 69 628
a 10 70 372
a 10 71 264
a 10 72 215
a 10 73 840
a 10 74 142
a 10 75 549
a 10 76 161
a 10 77 667
a 10 78 896
a 10 79 819
a 10 80 783
a 10 81 457
a 10 82 33
a 10 83 32
a 10 84 748
a 10 85 873
a 10 86 962
a 10 87 650
a 10 88 576
a 10 89 563
a 10 90 126
a 10 91 963
a 10 92 927
a 10 93 442
a 10 94 347
a 10 95 64
a 10 96 88
a 10 97 282
a 10 98 552
a 10 99 565
a 10 100 563
a 11 1 514
a 11 2 68
a 11 3 954
a 11 4 818
a 11 5 987
a 11 6 453
a 11 7 425
a 11 8 208
a 11 9 552
a 11 10 94
a 11 12 668
a 11 13 284
a 11 14 20
a 11 15 422
a 11 16 899
a 11 17 206
a 11 18 494
a 11 19 408
a 11 20 524
a 11 21 65
a 11 22 239
a 11 23 173
a 11 24 577
a 11 25 167
a 11 26 65
a 11 27 291
a 11 28 757
a 11 29 920
a 11 30 722
a 11 31 81
a 11 32 246
a 11 33 850
a 11 34 823
a 11 35 552
a 11 36 588
a 11 37 449
a 11 38 457
a 11 39 75
a 11 40 240
a 11 41 264
a 11 42 18
a 11 43 399
a 11 44 558
a 11 45 486
a 11 46 696
a 11 47 11
a 11 48 675
a 11 49 802
a 11 50 745
a 11 51 921
a 11 52 910
a 11 53 255
a 11 54 477
a 11 55 443
a 11 56 690
a 11 57 608
a 11 58 271
a 11 59 686
a 11 60 82
a 11 61 964
a 11 62 899
a 11 63 857
a 11 64 964
a 11 65 763
a 11 66 265
a 11 67 550
a 11 68 6
a 11 69 38
a 11 70 800
a 11 71 104
a 11 72 492
a 11 73 34
a 11 74 811
a 11 75 771
a 11 76 871
a 11 77 845
a 11 78 175
a 11 79 159
a 11 80 94
a 11 81 55
a 11 82 866
a 11 83 221
a 11 84 817
a 11 85 178
a 11 86 445
a 11 87 295
a 11 88 280
a 11 89 554
a 11 90 107
a 11 91 740
a 11 92 976
a 11 93 686
a 11 94 999
a 11 95 745
a 11 96 149
a 11 97 748
a 11 98 417
a 11 99 304
a 11 100 809
a 12 1 240
a 12 2 209
a 12 3 164
a 12 4 227
a 12 5 405
a 12 6 610
a 12 7 995
a 12 8 8
a 12 9 9
a 12 10 184
a 12 11 450
a 12 13 430
a 12 14 621
a 12 15 914
a 12 16 436
a 12 17 835
a 12 18 115
a 12 19 512
a 12 20 219
a 12 21 218
a 12 22 702
a 12 23 605
a 12 24 333
a 12 25 781
a 12 26 980
a 12 27 789
a 12 28 271
a 12 29 979
a 12 30 79
a 12 31 648
a 12 32 557
a 12 33 547
a 12 34 31
a 12 35 125
a 12 36 992
a 12 37 167
a 12 38 233
a 12 39 503
a 12 40 869
a 12 41 10
a 12 42 315
a 12 43 123
a 12 44 124
a 12 45 746
a 12 46 981
a 12 47 791
a 12 48 310
a 12 49 198
a 12 50 584
a 12 51 365
a 12 52 646
a 12 53 15
a 12 54 82
a 12 55 597
a 12 56 73
a 12 57 795
a 12 58 128
a 12 59 822
a 12 60 813
a 12 61 141
a 12 62 347
a 12 63 421
a 12 64 277
a 12 65 422
a 12 66 395
a 12 67 699
a 12 68 522
a 12 69 903
a 12 70 982
a 12 71 202
a 12 72 891
a 12 73 388
a 12 74 321
a 12 75 904
a 12 76 70
a 12 77 9
a 12 78 221
a 12 79 771
a 12 80 212
a 12 81 576
a 12 82 435
a 12 83 523
a 12 84 608
a 12 85 905
a 12 86 272
a 12 87 203
a 12 88 616
a 12 89 328
a 12 90 489
a 12 91 320
a 12 92 394
a 12 93 107
a 12 94 759
a 12 95 103
a 12 96 472
a 12 97 649
a 12 98 628
a 12 99 467
a 12 100 836
a 13 1 547
a 13 2 684
a 13 3 396
a 13 4 916
a 13 5 109
a 13 6 429
a 13 7 760
a 13 8 22
a 13 9 582
a 13 10 718
a 13 11 757
a 13 12 628
a 13 14 963
a 13 15 419
a 13 16 932
a 13 17 841
a 13 18 223
a 13 19 47
a 13 20 232
a 13 21 306
a 13 22 22
a 13 23 519
a 13 24 852
a 13 25 46
a 13 26 373
a 13 27 573
a 13 28 152
a 13 29 86
a 13 30 36
a 13 31 667
a 13 32 396
a 13 33 125
a 13 34 403
a 13 35 515
a 13 36 251
a 13 37 904
a 13 38 367
a 13 39 997
a 13 40 905
a 13 41 142
a 13 42 910
a 13 43 97
a 13 44 165
a 13 45 296
a 13 46 294
a 13 47 512
a 13 48 591
a 13 49 506
a 13 50 906
a 13 51 358
a 13 52 82
a 13 53 912
a 13 54 604
a 13 55 403
a 13 56 395
a 13 57 729
a 13 58 611
a 13 59 509
a 13 60 95
a 13 61 695
a 13 62 471
a 13 63 862
a 13 64 33
a 13 65 277
a 13 66 735
a 13 67 172
a 13 68 73
a 13 69 631
a 13 70 977
a 13 71 731
a 13 72 525
a 13 73 628
a 13 74 674
a 13 75 677
a 13 76 771
a 13 77 167
a 13 78 449
a 13 79 202
a 13 80 84
a 13 81 169
a 13 82 344
a 13 83 983
a 13 84 731
a 13 85 200
a 13 86 210
a 13 87 243
a 13 88 828
a 13 89 627
a 13 90 974
a 13 91 301
a 13 92 485
a 13 93 468
a 13 94 378
a 13 95 727
a 13 96 71
a 13 97 500
a 13 98 616
a 13 99 621
a 13 100 797
a 14 1 737
a 14 2 27
a 14 3 30
a 14 4 19
a 14 5 474
a 14 6 770
a 14 7 905
a 14 8 767
a 14 9 121
a 14 10 756
a 14 11 689
a 14 12 36
a 14 13 296
a 14 15 818
a 14 16 322
a 14 17 698
a 14 18 388
a 14 19 617
a 14 20 409
a 14 21 174
a 14 22 429
a 14 23 828
a 14 24 350
a 14 25 704
a 14 26 387
a 14 27 621
a 14 28 589
a 14 29 975
a 14 30 786
a 14 31 276
a 14 32 656
a 14 33 414
a 14 34 22
a 14 35 102
a 14 36 494
a 14 37 643
a 14 38 367
a 14 39 631
a 14 40 743
a 14 41 730
a 14 42 646
a 14 43 816
a 14 44 702
a 14 45 645
a 14 46 166
a 14 47 417
a 14 48 701
a 14 49 615
a 14 50 299
a 14 51 551
a 14 52 363
a 14 53 275
a 14 54 557
a 14 55 535
a 14 56 97
a 14 57 857
a 14 58 150
a 14 59 896
a 14 60 216
a 14 61 322
a 14 62 63
a 14 63 77
a 14 64 468
a 14 65 238
a 14 66 375
a 14 67 104
a 14 68 99
a 14 69 397
a 14 70 451
a 14 71 328
a 14 72 918
a 14 73 202
a 14 74 190
a 14 75 883
a 14 76 815
a 14 77 193
a 14 78 834
a 14 79 348
a 14 80 521
a 14 81 370
a 14 82 989
a 14 83 989
a 14 84 779
a 14 85 554
a 14 86 629
a 14 87 358
a 14 88 492
a 14 89 641
a 14 90 100
a 14 91 404
a 14 92 944
a 14 93 54
a 14 94 132
a 14 95 274
a 14 96 729
a 14 97 965
a 14 98 778
a 14 99 955
a 14 100 582
a 15 1 841
a 15 2 463
a 15 3 365
a 15 4 615
a 15 5 545
a 15 6 554
a 15 7 111
a 15 8 446
a 15 9 638
a 15 10 766
a 15 11 683
a 15 12 679
a 15 13 35
a 15 14 970
a 15 16 588
a 15 17 840
a 15 18 403
a 15 19 44
a 15 20 768
a 15 21 849
a 15 22 111
a 15 23 4
a 15 24 711
a 15 25 69
a 15 26 245
a 15 27 103
a 15 28 275
a 15 29 639
a 15 30 705
a 15 31 473
a 15 32 941
