p sp 30 870
a 1 2 401
a 1 3 245
a 1 4 83
a 1 5 403
a 1 6 700
a 1 7 208
a 1 8 884
a 1 9 250
a 1 10 505
a 1 11 345
a 1 12 410
a 1 13 58
a 1 14 758
a 1 15 937
a 1 16 18
a 1 17 283
a 1 18 497
a 1 19 185
a 1 20 69
a 1 21 744
a 1 22 196
a 1 23 326
a 1 24 615
a 1 25 111
a 1 26 964
a 1 27 133
a 1 28 955
a 1 29 726
a 1 30 685
a 2 1 391
a 2 3 760
a 2 4 839
a 2 5 111
a 2 6 142
a 2 7 342
a 2 8 28
a 2 9 252
a 2 10 758
a 2 11 609
a 2 12 850
a 2 13 663
a 2 14 548
a 2 15 636
a 2 16 650
a 2 17 541
a 2 18 250
a 2 19 143
a 2 20 99
a 2 21 455
a 2 22 56
a 2 23 90
a 2 24 785
a 2 25 254
a 2 26 940
a 2 27 375
a 2 28 1
a 2 29 325
a 2 30 963
a 3 1 963
a 3 2 578
a 3 4 339
a 3 5 957
a 3 6 780
a 3 7 436
a 3 8 693
a 3 9 252
a 3 10 516
a 3 11 804
a 3 12 695
a 3 13 420
a 3 14 380
a 3 15 910
a 3 16 260
a 3 17 700
a 3 18 265
a 3 19 265
a 3 20 249
a 3 21 988
a 3 22 523
a 3 23 878
a 3 24 942
a 3 25 909
a 3 26 296
a 3 27 185
a 3 28 508
a 3 29 547
a 3 30 285
a 4 1 662
a 4 2 383
a 4 3 445
a 4 5 109
a 4 6 12
a 4 7 812
a 4 8 19
a 4 9 535
a 4 10 533
a 4 11 68
a 4 12 511
a 4 13 931
a 4 14 627
a 4 15 527
a 4 16 868
a 4 17 973
a 4 18 276
a 4 19 306
a 4 20 2
a 4 21 377
a 4 22 511
a 4 23 649
a 4 24 439
a 4 25 684
a 4 26 893
a 4 27 580
a 4 28 262
a 4 29 729
a 4 30 776
a 5 1 686
a 5 2 268
a 5 3 449
a 5 4 294
a 5 6 368
a 5 7 117
a 5 8 385
a 5 9 254
a 5 10 346
a 5 11 899
a 5 12 991
a 5 13 985
a 5 14 850
a 5 15 295
a 5 16 853
a 5 17 610
a 5 18 107
a 5 19 869
a 5 20 12
a 5 21 342
a 5 22 975
a 5 23 68
a 5 24 786
a 5 25 604
a 5 26 221
a 5 27 747
a 5 28 340
a 5 29 462
a 5 30 835
a 6 1 509
a 6 2 132
a 6 3 246
a 6 4 43
a 6 5 141
a 6 7 891
a 6 8 921
a 6 9 986
a 6 10 490
a 6 11 735
a 6 12 135
a 6 13 772
a 6 14 724
a 6 15 950
a 6 16 352
a 6 17 721
a 6 18 836
a 6 19 801
a 6 20 320
a 6 21 715
a 6 22 248
a 6 23 674
a 6 24 635
a 6 25 5
a 6 26 140
a 6 27 557
a 6 28 569
a 6 29 125
a 6 30 721
a 7 1 762
a 7 2 227
a 7 3 482
a 7 4 25
a 7 5 841
a 7 6 243
a 7 8 878
a 7 9 304
a 7 10 788
a 7 11 752
a 7 12 668
a 7 13 900
a 7 14 616
a 7 15 103
a 7 16 290
a 7 17 102
a 7 18 171
a 7 19 90
a 7 20 352
a 7 21 87
a 7 22 303
a 7 23 44
a 7 24 815
a 7 25 51
a 7 26 429
a 7 27 339
a 7 28 643
a 7 29 552
a 7 30 555
a 8 1 165
a 8 2 713
a 8 3 607
a 8 4 902
a 8 5 90
a 8 6 49
a 8 7 842
a 8 9 936
a 8 10 560
a 8 11 596
a 8 12 204
a 8 13 538
a 8 14 489
a 8 15 574
a 8 16 252
a 8 17 170
a 8 18 606
a 8 19 620
a 8 20 593
a 8 21 654
a 8 22 543
a 8 23 191
a 8 24 550
a 8 25 39
a 8 26 728
a 8 27 343
a 8 28 335
a 8 29 871
a 8 30 118
a 9 1 273
a 9 2 474
a 9 3 594
a 9 4 151
a 9 5 969
a 9 6 79
a 9 7 352
a 9 8 781
a 9 10 296
a 9 11 48
a 9 12 785
a 9 13 947
a 9 14 998
a 9 15 193
a 9 16 231
a 9 17 742
a 9 18 24
a 9 19 504
a 9 20 559
a 9 21 460
a 9 22 67
a 9 23 909
a 9 24 55
a 9 25 16
a 9 26 622
a 9 27 379
a 9 28 305
a 9 29 299
a 9 30 980
a 10 1 269
a 10 2 334
a 10 3 460
