p sp 300 89700
a 1 2 590
a 1 3 642
a 1 4 872
a 1 5 336
a 1 6 233
a 1 7 989
a 1 8 897
a 1 9 295
a 1 10 758
a 1 11 902
a 1 12 615
a 1 13 119
a 1 14 179
a 1 15 574
a 1 16 15
a 1 17 520
a 1 18 678
a 1 19 110
a 1 20 938
a 1 21 645
a 1 22 1
a 1 23 803
a 1 24 252
a 1 25 172
a 1 26 425
a 1 27 786
a 1 28 272
a 1 29 731
a 1 30 714
a 1 31 148
a 1 32 77
a 1 33 916
a 1 34 332
a 1 35 923
a 1 36 403
a 1 37 897
a 1 38 945
a 1 39 971
a 1 40 918
a 1 41 903
a 1 42 828
a 1 43 977
a 1 44 993
a 1 45 519
a 1 46 18
a 1 47 343
a 1 48 388
a 1 49 704
a 1 50 684
a 1 51 901
a 1 52 231
a 1 53 870
a 1 54 219
a 1 55 161
a 1 56 612
a 1 57 558
a 1 58 546
a 1 59 136
a 1 60 760
a 1 61 999
a 1 62 808
a 1 63 298
a 1 64 945
a 1 65 257
a 1 66 338
a 1 67 529
a 1 68 145
a 1 69 585
a 1 70 604
a 1 71 137
a 1 72 177
a 1 73 891
a 1 74 377
a 1 75 561
a 1 76 6
a 1 77 918
a 1 78 830
a 1 79 521
a 1 80 80
a 1 81 883
a 1 82 891
a 1 83 370
a 1 84 509
a 1 85 6
a 1 86 953
a 1 87 448
a 1 88 42
a 1 89 787
a 1 90 300
a 1 91 194
a 1 92 978
a 1 93 257
a 1 94 593
a 1 95 704
a 1 96 956
a 1 97 602
a 1 98 265
a 1 99 684
a 1 100 848
a 1 101 272
a 1 102 356
a 1 103 713
a 1 104 82
a 1 105 641
a 1 106 679
a 1 107 375
a 1 108 278
a 1 109 668
a 1 110 558
a 1 111 180
a 1 112 129
a 1 113 394
a 1 114 9
a 1 115 27
a 1 116 126
a 1 117 157
a 1 118 931
a 1 119 985
a 1 120 982
a 1 121 355
a 1 122 181
a 1 123 370
a 1 124 814
a 1 125 235
a 1 126 487
a 1 127 824
a 1 128 532
a 1 129 462
a 1 130 167
a 1 131 812
a 1 132 794
a 1 133 343
a 1 134 616
a 1 135 722
a 1 136 593
a 1 137 139
a 1 138 524
a 1 139 201
a 1 140 519
a 1 141 137
a 1 142 506
a 1 143 544
a 1 144 705
a 1 145 563
a 1 146 296
a 1 147 906
a 1 148 601
a 1 149 283
a 1 150 760
a 1 151 770
a 1 152 736
a 1 153 414
a 1 154 159
a 1 155 287
a 1 156 756
a 1 157 156
a 1 158 201
a 1 159 513
a 1 160 987
a 1 161 813
a 1 162 166
a 1 163 785
a 1 164 630
a 1 165 637
a 1 166 312
a 1 167 245
a 1 168 167
a 1 169 688
a 1 170 562
a 1 171 97
a 1 172 690
a 1 173 150
a 1 174 714
a 1 175 798
a 1 176 535
a 1 177 96
a 1 178 615
a 1 179 726
a 1 180 342
a 1 181 712
a 1 182 91
a 1 183 197
a 1 184 465
a 1 185 413
a 1 186 577
a 1 187 505
a 1 188 509
a 1 189 324
a 1 190 407
a 1 191 811
a 1 192 184
a 1 193 119
a 1 194 21
a 1 195 548
