p sp 50 2450
a 1 2 375
a 1 3 856
a 1 4 865
a 1 5 669
a 1 6 915
a 1 7 986
a 1 8 387
a 1 9 749
a 1 10 888
a 1 11 772
a 1 12 128
a 1 13 236
a 1 14 196
a 1 15 203
a 1 16 896
a 1 17 669
a 1 18 791
a 1 19 75
a 1 20 668
a 1 21 643
a 1 22 499
a 1 23 608
a 1 24 581
a 1 25 33
a 1 26 450
a 1 27 80
a 1 28 769
a 1 29 529
a 1 30 539
a 1 31 170
a 1 32 774
a 1 33 121
a 1 34 677
a 1 35 808
a 1 36 157
a 1 37 6
a 1 38 914
a 1 39 704
a 1 40 216
a 1 41 373
a 1 42 13
a 1 43 79
a 1 44 539
a 1 45 916
a 1 46 508
a 1 47 84
a 1 48 662
a 1 49 646
a 1 50 654
a 2 1 675
a 2 3 704
a 2 4 884
a 2 5 308
a 2 6 198
a 2 7 5
a 2 8 315
a 2 9 884
a 2 10 613
a 2 11 889
a 2 12 412
a 2 13 401
a 2 14 671
a 2 15 27
a 2 16 247
a 2 17 348
a 2 18 966
a 2 19 922
a 2 20 295
a 2 21 342
a 2 22 63
a 2 23 34
a 2 24 512
a 2 25 122
a 2 26 119
a 2 27 560
a 2 28 619
a 2 29 439
a 2 30 678
a 2 31 153
a 2 32 281
a 2 33 508
a 2 34 471
a 2 35 951
a 2 36 267
a 2 37 634
a 2 38 470
a 2 39 99
a 2 40 344
a 2 41 157
a 2 42 736
a 2 43 395
a 2 44 735
a 2 45 139
a 2 46 750
a 2 47 397
a 2 48 824
a 2 49 450
a 2 50 625
a 3 1 626
a 3 2 310
a 3 4 822
a 3 5 23
a 3 6 36
a 3 7 471
a 3 8 984
a 3 9 364
a 3 10 319
a 3 11 986
a 3 12 151
a 3 13 178
a 3 14 635
a 3 15 271
a 3 16 595
a 3 17 521
a 3 18 55
a 3 19 274
a 3 20 804
a 3 21 710
a 3 22 263
a 3 23 360
a 3 24 735
a 3 25 488
a 3 26 207
a 3 27 40
a 3 28 265
a 3 29 510
a 3 30 358
a 3 31 899
a 3 32 97
a 3 33 522
a 3 34 668
a 3 35 636
a 3 36 841
a 3 37 696
a 3 38 315
a 3 39 153
a 3 40 182
a 3 41 703
a 3 42 384
a 3 43 375
a 3 44 107
a 3 45 630
a 3 46 147
a 3 47 601
a 3 48 753
a 3 49 400
a 3 50 74
a 4 1 296
a 4 2 82
a 4 3 480
a 4 5 114
a 4 6 260
a 4 7 609
a 4 8 421
a 4 9 846
a 4 10 369
a 4 11 419
a 4 12 806
a 4 13 269
a 4 14 282
a 4 15 816
a 4 16 247
a 4 17 407
a 4 18 18
a 4 19 458
a 4 20 546
a 4 21 112
a 4 22 837
a 4 23 211
a 4 24 998
a 4 25 516
a 4 26 547
a 4 27 915
a 4 28 747
a 4 29 288
a 4 30 981
a 4 31 80
a 4 32 667
a 4 33 359
a 4 34 982
a 4 35 660
a 4 36 27
a 4 37 418
a 4 38 290
a 4 39 738
a 4 40 23
a 4 41 286
a 4 42 489
a 4 43 369
a 4 44 976
a 4 45 690
a 4 46 269
a 4 47 423
a 4 48 465
a 4 49 157
a 4 50 271
a 5 1 966
a 5 2 613
a 5 3 372
a 5 4 869
a 5 6 81
a 5 7 211
a 5 8 329
a 5 9 999
a 5 10 559
a 5 11 682
a 5 12 748
a 5 13 389
a 5 14 71
a 5 15 244
a 5 16 894
a 5 17 122
a 5 18 602
a 5 19 318
a 5 20 521
a 5 21 436
a 5 22 572
a 5 23 998
a 5 24 897
a 5 25 352
a 5 26 51
a 5 27 12
a 5 28 533
a 5 29 802
a 5 30 918
a 5 31 689
a 5 32 733
a 5 33 163
a 5 34 374
a 5 35 298
a 5 36 101
a 5 37 16
a 5 38 231
a 5 39 429
a 5 40 689
a 5 41 634
a 5 42 416
a 5 43 10
a 5 44 447
a 5 45 568
a 5 46 214
a 5 47 402
a 5 48 119
a 5 49 821
a 5 50 13
a 6 1 523
a 6 2 805
a 6 3 936
a 6 4 14
a 6 5 51
a 6 7 117
a 6 8 447
a 6 9 985
a 6 10 648
a 6 11 902
a 6 12 26
a 6 13 125
a 6 14 781
a 6 15 272
a 6 16 502
a 6 17 194
a 6 18 703
a 6 19 405
a 6 20 631
a 6 21 14
a 6 22 572
a 6 23 139
a 6 24 700
a 6 25 772
a 6 26 34
a 6 27 239
a 6 28 262
a 6 29 141
a 6 30 206
a 6 31 35
a 6 32 448
a 6 33 635
a 6 34 570
a 6 35 480
a 6 36 496
a 6 37 361
a 6 38 988
a 6 39 812
a 6 40 780
a 6 41 900
a 6 42 829
a 6 43 365
a 6 44 270
a 6 45 116
a 6 46 207
a 6 47 252
a 6 48 728
a 6 49 147
a 6 50 950
a 7 1 75
a 7 2 72
a 7 3 84
a 7 4 600
a 7 5 710
a 7 6 508
a 7 8 797
a 7 9 244
a 7 10 645
a 7 11 375
a 7 12 509
a 7 13 790
a 7 14 848
a 7 15 90
a 7 16 422
a 7 17 209
a 7 18 33
a 7 19 35
a 7 20 203
a 7 21 851
a 7 22 125
a 7 23 649
a 7 24 322
a 7 25 972
a 7 26 323
a 7 27 772
a 7 28 139
a 7 29 654
a 7 30 842
a 7 31 345
a 7 32 128
a 7 33 638
