p sp 300 89700
a 1 2 154
a 1 3 787
a 1 4 372
a 1 5 272
a 1 6 518
a 1 7 253
a 1 8 534
a 1 9 992
a 1 10 843
a 1 11 551
a 1 12 75
a 1 13 455
a 1 14 399
a 1 15 590
a 1 16 547
a 1 17 584
a 1 18 154
a 1 19 246
a 1 20 55
a 1 21 46
a 1 22 958
a 1 23 699
a 1 24 624
a 1 25 172
a 1 26 437
a 1 27 851
a 1 28 364
a 1 29 124
a 1 30 758
a 1 31 37
a 1 32 441
a 1 33 428
a 1 34 936
a 1 35 363
a 1 36 368
a 1 37 217
a 1 38 725
a 1 39 307
a 1 40 283
a 1 41 8
a 1 42 840
a 1 43 178
a 1 44 646
a 1 45 551
a 1 46 135
a 1 47 255
a 1 48 529
a 1 49 633
a 1 50 145
a 1 51 558
a 1 52 323
a 1 53 463
a 1 54 495
a 1 55 393
a 1 56 544
a 1 57 366
a 1 58 447
a 1 59 360
a 1 60 612
a 1 61 487
a 1 62 772
a 1 63 250
a 1 64 606
a 1 65 410
a 1 66 855
a 1 67 345
a 1 68 485
a 1 69 130
a 1 70 233
a 1 71 746
a 1 72 773
a 1 73 643
a 1 74 773
a 1 75 242
a 1 76 75
a 1 77 398
a 1 78 202
a 1 79 121
a 1 80 948
a 1 81 340
a 1 82 631
a 1 83 402
a 1 84 722
a 1 85 534
a 1 86 173
a 1 87 17
a 1 88 822
a 1 89 275
a 1 90 424
a 1 91 739
a 1 92 206
a 1 93 306
a 1 94 270
a 1 95 473
a 1 96 624
a 1 97 443
a 1 98 973
a 1 99 772
a 1 100 909
a 1 101 601
a 1 102 697
a 1 103 714
a 1 104 599
a 1 105 402
a 1 106 235
a 1 107 191
a 1 108 386
a 1 109 981
a 1 110 674
a 1 111 37
a 1 112 294
a 1 113 778
a 1 114 854
a 1 115 580
a 1 116 266
a 1 117 557
a 1 118 759
a 1 119 393
a 1 120 314
a 1 121 635
a 1 122 306
a 1 123 947
a 1 124 258
a 1 125 355
a 1 126 620
a 1 127 761
a 1 128 249
a 1 129 302
a 1 130 700
a 1 131 829
a 1 132 55
a 1 133 327
a 1 134 692
a 1 135 507
a 1 136 958
a 1 137 388
a 1 138 633
a 1 139 482
a 1 140 339
a 1 141 242
a 1 142 926
a 1 143 409
a 1 144 238
a 1 145 660
a 1 146 948
a 1 147 411
a 1 148 381
a 1 149 331
a 1 150 197
a 1 151 211
a 1 152 37
a 1 153 951
a 1 154 204
a 1 155 456
